id,schemeName,schemeShortTitle,slug,level,schemeFor,nodalMinistryName,beneficiaryState,schemeCategory,briefDescription,schemeCloseDate,priority,tags
o8a9F5gB0AGc0F0iYzWT,Production Of Certified Seeds,POCS,pocs,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Production of Certified Seeds"" scheme, offers a subsidy to farmers for producing certified seeds of Pulses.
",,1,"Agriculture, Farmer, Certified Seeds, Production Of Seeds"
mMa9F5gB0AGc0F0iYjVt,Production of Foundation Seeds,POFS,pofs,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Production of Foundation Seeds"" scheme, provides subsidies to farmers cultivating seed farms for pulses, offering specific benefits to SC/ST farmers and farm women.
",,1,"Agriculture, Farmer, Seed Production, Foundation Seeds"
uRj4r54B5uF80_MGDW7L,Kisan Credit Card,KCC,kcc,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment",The Kisan Credit Card (KCC) scheme was introduced in 1998 for issue of Kisan Credit Cards to farmers on the basis of their holdings for uniform adoption by the banks so that farmers may use them to readily purchase agriculture inputs and draw cash for their production needs. ,,1,"Kisan, Credit Card, Farmer, Farming, Banking"
h6G9F5gBXu-iUKXqZnZz,Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,OBDOPMTIG,obdopmtig,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.
",,1,"Agriculture, Farmer, Block Demonstration, Polythene Mulch Technology, Groundnut"
cxe9F5gB5uF80_MGYpGm,Organizing Block Demonstration Through Department And Also Through TNAU,OBDTDAATTNAU,obdtdaattnau,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme ""Organizing Block Demonstration Through Department And Also Through TNAU"" offers grants to farmers for maize cultivation. Farmers can avail a subsidy for demonstrating cultivation practices on a 1-hectare plot.
",,1,"Agriculture, Farmer, Block Demonstration, Maize"
lKG9F5gBXu-iUKXqbHaM,Distribution of Rhizobium,DOR,dor,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Distribution of Rhizobium” scheme offers a subsidy on the cost of Rhizobium, to farmers raising seed farms with Pulses crops in Tamil Nadu.

",,1,"Agriculture, Farmer, Rhizobium, Subsidy"
eqG9F5gBXu-iUKXqYnZk,Distribution of Certified Seeds-Oil Seeds,DOCSOS,docsos,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Certified Seeds-Oil Seeds"" scheme offers subsidies to farmers for purchasing certified oil seeds, helping them improve their crop yield and quality.

",,1,"Agriculture, Farmer, Seed Distribution, Oil Seeds, Subsidy"
p8czlZ0B0AGc0F0ikwx0,Primary Cooperative Agriculture and Rural Development Bank: For Power Tiller,PCARDBPT,pcardbpt,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers loans to farmers covering up to 90% of the cost of a power tiller, with an interest rate between 11% and 12.25%.

",,1,"Power Tiller, Loan, Farmer, Agriculture And Rural Development Bank, Farming Equipment"
tsdLjJ4B0AGc0F0i4BPR,RKVY Soil Health and Fertility - Soil Health Card,RKVYSHFSHC,rkvyshfshc,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment",The scheme aims to promote soil test-based nutrient management by providing Soil Health Cards containing soil analysis results and fertilizer recommendations to farmers across India.,,1,"Soil Health, INM, Soil Testing, Farmer, RKVY"
Dca1F5gB0AGc0F0iJDR0,Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,PMKSY:PDMC,pmksypdmc,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","The scheme “Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop” was launched by the Dept. of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Govt. of India on 1st July 2015. The scheme mainly focuses on water use efficiency at farm level through Micro Irrigation.",,1,"Agriculture, Crop, Farmer, Irrigation, Water Harvesting, Water Management"
BRhDT54B5uF80_MGqWyu,Agri-Clinics And Agri-Business Centres Scheme,AC&ABC,acandabc,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Business & Entrepreneurship, Skills & Employment","A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development, supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model.",,1,"Business, Entrepreneur, Student, Training, Agriculture, Employment"
yhg4lZ0B5uF80_MGoGbk,Primary Cooperative Agriculture and Rural Development Bank: For Tractor Purchase,PCARDFTC,pcardftc,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The scheme offers a specialized loan for farmers to purchase tractors, covering up to 90% of the tractor's cost.",,1,"Agriculture, Loan, Farmer"
38a-F5gB0AGc0F0iYTX6,Primary Cooperative Agriculture and Rural Development Bank: For Fishing Boats (Catamarans),PCARDBFB,pcardbfb,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme provides loans to farmers for purchasing fishing boats (Catamarans) ranging from ₹15,000/- to ₹60,000/- with an applicable interest rate subject to change.
",,1,"Fishing Boats, Agriculture, Catamarans, Farmer, Loan"
8ca-F5gB0AGc0F0iYjXc,Primary Cooperative Agriculture and Rural Development Bank: For Animal Husbandry,PCARDAH,pcardah,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance, Agriculture,Rural & Environment","The scheme provides loans to farmers for the purpose of animal husbandry, allowing them to improve their income through livestock.
",,1,"Animal Husbandry Loan, Agriculture, Farmer"
lsbpF5gB0AGc0F0iYTfC,Primary Cooperative Agriculture and Rural Development Bank: Jewel Loans,PCAARDJL,pcaardjl,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers jewel loans to farmers, enabling them to access up to ₹2,00,000/- at an interest rate of 11.5% for agricultural purposes.

",,1,"Banking, Financial Assistance, Farmer"
m8cvlZ0B0AGc0F0iEAzx,Primary Cooperative Agriculture and Rural Development Bank: For Plantation (Tea),PCARDTP,pcardtp,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers financial assistance of up to ₹33,000/- per acre to farmers for tea plantations, with an interest rate of 11%-12.5%.
",,1,"Tea Plantation, Loan, Farmer, Agriculture, Agriculture And Rural Development Bank"
y6G0F5gBXu-iUKXqEXRb,Pradhan Mantri Fasal Bima Yojna (PMFBY),PMFBY,pmfby,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance",Pradhan Mantri Fasal Bima Yojana was launched in  2016 with the aim to support farmers by providing an affordable comprehensive risk cover for crops.,,1,"Crop, Farmer, Insurance, Agriculture, Premium"
rsa9F5gB0AGc0F0ibTVh,Distribution of Manually Operated Plant Protection Equipment,DOMOPPE,domoppe,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Manually Operated Plant Protection Equipment"" scheme provides farmers with a subsidy of 50% on the cost of equipment to enhance agricultural practices.

",,1,"Agriculture, Farmer, Equipment Distribution, Manually Operated Equipment, Plant Protection Equipment, Subsidy"
eRe9F5gB5uF80_MGY5E-,"Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds and Cotton",SMSOPM,smsopm,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds, and Cotton” offers subsidies to farmers to produce seeds under contract with the Department of Agriculture.
",,1,"Agriculture, Farmer, Seed Multiplication, Paddy, Crops"
gKG9F5gBXu-iUKXqY3ZA,Production of Foundation and Certified Seeds,POFACS,pofacs,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Production of Foundation and Certified Seeds"" scheme, provides subsidy to farmers who produce and supply Foundation and Certified seeds to the Department of Agriculture.
",,1,"Agriculture, Farmer, Certified Seeds, Seed Production, Foundation Seeds"
CBj0JJ0B5uF80_MGU2Rk,National Gopal Ratna Award,NGRA,ngra,Central,Individual,"Ministry of Fisheries,Animal Husbandry and Dairying",All,"Agriculture,Rural & Environment","The scheme aims to promote scientific dairy practices and AI coverage. It provides awards, recognition, and monetary incentives to farmers, dairy organizations, and AI technicians.",,1,"Dairy Farmer, Milk, Award, AI Technicians, Dairy Organizations, Monetary Incentive"
jcboF5gB0AGc0F0i5Den,Primary Cooperative Agriculture and Rural Development Bank: For Horticulture,PCAARDFH,pcaardfh,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers a horticulture loan to support farmers with funds ranging from ₹25,000/- to ₹2,00,000/- per 0.4 hectare at an interest rate of 11%-12.75%.
",,1,"Horticulture Loan, Farmer, Financial Assistance"
eKG9F5gBXu-iUKXqYnYu,Distribution of Minikits At Free of Cost,DOMAFOC,domafoc,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Minikits at Free of Cost"" scheme provides subsidies for minikits to maize-growing farmers in some of the selected districts of Tamil Nadu.

",,1,"Agriculture, Farmer, Minikits, Subsidy"
lBe9F5gB5uF80_MGc5ED,Distribution of Nuclear Poly Hedrosis Virus,DONPV,donpv,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Nuclear Poly Hedrosis Virus"" scheme provides subsidies for the distribution of Nuclear Poly Hedrosis Virus (NPV) to farmers raising seed farms with Pulses crops.

",,1,"Agriculture, Farmer, Nuclear Poly Hedrosis Virus, NPV, Subsidy"
rRgplZ0B5uF80_MGRGaV,Primary Cooperative Agriculture and Rural Development Bank: For Minor Irrigation,PCARDMI,pcardmi,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers loans to farmers for minor irrigation projects, aiming to enhance water access for agriculture. Loan amounts range from ₹65,000/- to ₹1,20,000/- at an interest rate of 11% to 11.75%.
",,1,"Irrigation, Agriculture, Loan, Farmer, Agriculture And Rural Development Bank"
rca9F5gB0AGc0F0ibTVX,Distribution of Rhizobium Packets-Oilseeds,DORPO,dorpo,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The “Distribution of Rhizobium Packets-Oilseeds” scheme provides a subsidy on the cost of Rhizobium, to eligible farmers who produce and supply Foundation and Certified Class seeds.
",,1,"Agriculture, Farmer, Rhizobium, Oilseeds, Subsidy"
gaG9F5gBXu-iUKXqY3ZN,Production of Certified Seeds of Maize,POCSM,pocsm,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Production of Certified Seeds of Maize"" scheme, aims to promote the production of certified maize seeds by providing subsidy to farmers in select districts of Tamil Nadu.
",,1,"Agriculture, Farmer, Certified Seeds, Production Of Seeds, Maize"
aRfpF5gB5uF80_MGYZPE,Primary Cooperative Agriculture and Rural Development Bank: For Inland Fishing,PCARDBIF,pcardbif,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance, Agriculture,Rural & Environment","The scheme offers loans to farmers for inland fishing projects, with a loan amount of up to ₹3,30,000/- per hectare at an interest rate between 11% and 12%.
",,1,"Inland Fishing, Loan, Farmer, Agriculture And Rural Development Bank"
nKIig58BXu-iUKXqvloB,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: New Subcomponents:FRESH-IT (Farmer’s Research & Enterprise in Spice Holdings for Innovative Technology),ISFEPQISARADOCNSFFREISHFIT,isfepqisaradocnsffreishfit,Central,Individual,Ministry Of Commerce And Industry,All,"Agriculture,Rural & Environment, Business & Entrepreneurship, Banking,Financial Services and Insurance","To encourage spice farmers to adopt innovative technologies and develop improved spice varieties and cost-effective post-harvest machinery to enhance the production, productivity, and quality of spices.",,1,"Farming, Farmer, Enterprise, Technology"
BKLuAJ0BXu-iUKXq2U1o,Pradhan Mantri Kisan Maandhan Yojana,PMKMDY,pmkmdy,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance, Social welfare & Empowerment","The scheme aims to provide old-age social security through a minimum assured monthly pension of ₹ 3,000/- to Small and Marginal Farmers after attaining the age of 60 years.",,1,"Small And Marginal Farmer, Social Security, Old Age Pension, Family Pension"
fhe9F5gB5uF80_MGZZFS,Distribution of Gypsum-Oil Seeds,DOGOS,dogos,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Gypsum-Oil Seeds"" scheme provides a subsidy on the cost of gypsum material and transportation cost, to farmers who produce and supply Foundation and Certified Class seeds.

",,1,"Agriculture, Farmer, Seed Distribution, Gypsum, Oil Seeds, Subsidy"
waI1lZ0BXu-iUKXqsVA-,Primary Cooperative Agriculture and Rural Development Bank: For Sericulture In Irrigated Area,PCARDSIA,pcardsia,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The scheme provides loans to farmers for sericulture activities in irrigated areas, with a loan amount ranging from ₹49,000/- to ₹79,000/- per acre, and interest rates from 11% to 12.75%.",,1,"Sericulture, Loan, Farmer, Agriculture And Rural Development Bank, Irrigated Area"
zscTjZ4B0AGc0F0iXBN2,National Mission on Natural Farming,NMNF,nmnf,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","The scheme aims to promote natural farming practices through capacity building, training, certification, and financial assistance for on-farm input production infrastructure, thereby reducing cultivation costs and increasing farmers' income.",,1,"Natural Farming, Agro Ecology, Chemical-free Farming"
ihgbpp4B5uF80_MGiG5Z,Agricultural Extension,AE,ae,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.",,1,"Agricultural, Extension, Agricultural Research, Farmer"
mKG9F5gBXu-iUKXqbXar,Distribution of Soil Health Card,DOSHC,doshc,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","Under the “Distribution of Soil Health Card” scheme, Soil health cards will be distributed to all the farmers who have offered the soil sample for testing by paying a prescribed fee of ₹5/- each for Macro and Micronutrient testing.

",,1,"Agriculture, Farmer, Soil Health Card"
uKIwlZ0BXu-iUKXq3FBp,Primary Cooperative Agriculture and Rural Development Bank: For Poultry Development,PCARDFPD,pcardfpd,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers loans to farmers for poultry development and cattle development, with funding of up to ₹14,800/- for 200 birds or ₹17,000/- for 2 cows, with an interest rate of 14.5% to 16.5%.

",,1,"Poultry Development, Cattle Development, Loan, Farmer, Agriculture And Rural Development Bank"
hhheOZ4B5uF80_MG12vg,Promotion of Exportable surplus of identified spices in NE: Cultivation of NE ginger (Ha),POESOISINCONG,poesoisincong,Central,Individual,Ministry Of Commerce And Industry,All,"Agriculture,Rural & Environment","The objective of the scheme is to promote the cultivation of ginger in the North Eastern region by supporting farmers with financial assistance for quality planting material, enhancing productivity and quality, and increasing the exportable surplus of spices from the region.",,1,"Ginger, Farming, Farmer, Agriculture"
qsa9F5gB0AGc0F0iaTWN,Pipes Carrying Water From Source To Field-Pulses ISPOM,PCWFSTFPI,pcwfstfpi,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme provides subsidies to farmers for installing pipes to carry water from the source to their fields, offering a 50% subsidy or up to ₹15,000/- for pipes (up to 800m), including PVC, HDPE, and others.
",,1,"Agriculture, Farmer, Irrigation, Pipes, Pulses ISPOM"
osa9F5gB0AGc0F0iYzWC,Pipes Carrying Water From Source To Field,PCWFSF,pcwfsf,State,Individual,,Tamil Nadu,"Agriculture,Rural & Environment","The scheme provides subsidies to farmers for installing pipes to carry water from the source to their fields, offering a 50% subsidy or up to ₹15,000/- for pipes (up to 800m), including PVC, HDPE, and others.
",,1,"Agriculture, Farmer, Irrigation, Pipes"
4Ma-F5gB0AGc0F0iYjUB,Primary Cooperative Agriculture and Rural Development Bank: For Handloom and Other Non Farm Sector Activities,PCARDFHTN,pcardfhtn,State,Individual,,Tamil Nadu,"Banking,Financial Services and Insurance","The scheme offers loans for handloom and other non-farm sector activities, with a maximum loan amount of up to ₹2,00,000/- at an interest rate of 11% to 12.5%. The scheme is designed to support farmers engaged in non-farm activities.
",,1,"Handloom Loans, Non-farm Sector Activities, Farmer, Financial Assistance"
AMb-F5gB0AGc0F0iSDhk,Coconut Palm Insurance Scheme,CPIS,cpis,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance","The “Coconut Palm Insurance Scheme (CPIS)” is being implemented by the Coconut Development Board, Ministry of Agriculture and Farmers Welfare, Government of India with the objective of insuring coconut palms against natural calamities, climatic risks, pests, diseases, and other perils. ",,1,"Coconut, Palm, Insurance, Farmer, Coconut Grower"
KcftGp4B0AGc0F0iIBBq,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),PM-KISAN,pm-kisan,Central,Family,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Social welfare & Empowerment","With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”. ",,2,"Farmers, Income Support, Agricultural Inputs, Kisan, Agriculture"
jBe9F5gB5uF80_MGbJGD,Farmers Interest Group (FIG),FIG,fig,State,Infra,,Tamil Nadu,"Agriculture,Rural & Environment","The “Farmers Interest Group (FIG)” scheme supports every group of 15 farmers with grants for agricultural development. The scheme offers assistance for office equipment, training, ID cards, and district-level meetings.
",,3,"Agriculture, Farmer, Farmers Interest Group, FIG"
dhe9F5gB5uF80_MGY5Et,Distribution of Certified Seeds of Maize,DOCSOM,docsom,State,Infra,,Tamil Nadu,"Agriculture,Rural & Environment","The ""Distribution of Certified Seeds of Maize"" scheme by the Agriculture-Farmers Welfare Department, Tamil Nadu offers a subsidy to maize-growing farmers in specific districts of the state, providing financial assistance for purchasing certified maize seeds.

",,3,"Agriculture, Farmer, Seed Distribution, Maize, Subsidy"
xaG0F5gBXu-iUKXqEHRF,Sub-mission On Agriculture Mechanization,SMAM,smam,Central,Infra,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment",The Sub-Mission on Agricultural Mechanization was launched in 2014-15 by the Ministry of Agriculture and Farmers’ Welfare. ,,3,"Sub-Mission, Agriculture, Mechanization, SMAM"
fKG9F5gBXu-iUKXqYnZ2,Integrated Pest Management Demonstration Cum Training,IPMDCT,ipmdct,State,Infra,,Tamil Nadu,"Agriculture,Rural & Environment","The “Integrated Pest Management Demonstration Cum Training” scheme provides financial assistance for 30 farmers to conduct pest management demonstrations and training using a cluster approach in Farmer Field Schools.
",,3,"Agriculture, Farmer, Integrated Pest Management, Training"
3Bhz-5wB5uF80_MGymLA,Livestock Health and Diseases Control,LHADC,lhadc,Central,Infra,"Ministry of Fisheries,Animal Husbandry and Dairying",All,"Agriculture,Rural & Environment","The Livestock Health and Diseases Control (LH&DC) scheme is a Centrally Sponsored Scheme (CSS) implemented by the Department of Animal Husbandry and Dairying (DAHD), Ministry of Agriculture and Farmers' Welfare, Government of India.",,3,"Animal Husbandry, Animal Health, Livestock Diseases"
aKG3F5gBXu-iUKXqN3X8,Integrated Scheme on Agriculture Cooperation,ISAC,isac,Central,Infra,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","The Integrated Scheme on Agriculture Cooperation (ISAC) is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India. It is being implemented through the National Cooperative Development Corporation (NCDC).",,3,"Financial Assistance, Improve Economic Conditions, Loan"
3xhWjZ4B5uF80_MGX225,Mission on Integrated Development of Horticulture- NHM and HMNEH,MIDH,midh,Central,Infra,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment","The scheme aims to promote the holistic growth of the horticulture sector through production enhancement, productivity improvement, post-harvest management, processing, marketing support, skill development, and infrastructure creation for horticulture crops while augmenting farmers’ income.",,3,"Horticulture, Infrastructure, Post-harvest, Green Houses, Poly Houses, Nurseries"
-RjI_5wB5uF80_MGRmI8,Agricultural Marketing Infrastructure,AMI,ami,Central,Infra,Ministry Of Agriculture and Farmers Welfare,All,"Agriculture,Rural & Environment, Transport & Infrastructure",The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,,3,"Agricultural Marketing, Storage Infrastructure, Promoter, Farmer"
